Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
22.05.;;;;;;;;;;4er;           4.135;à;              46,30;3er + ZZ;           5.530;à;              15,50;3er;          64.845;à;               5,30;ZZ;         199.099;à;               1,20;
26.05.;aufsteigend;3;5;9;11;28;31;ZZ;44;6er;               1;à;       1.000.000,00;5er + ZZ;               3;à;          66.999,90;5er;             166;à;             628,00;4er + ZZ;             225;à;             139,00;
26.05.;;;;;;;;;;4er;           5.847;à;              29,70;3er + ZZ;           5.202;à;              15,00;3er;          79.244;à;               3,90;ZZ;         164.569;à;               1,20;
29.05.;aufsteigend;1;3;7;20;22;34;ZZ;13;6er;JP;;         627.008,90;5er + ZZ;               2;à;          43.106,80;5er;              90;à;           1.045,00;4er + ZZ;             262;à;             107,60;
29.05.;;;;;;;;;;4er;           3.784;à;              41,40;3er + ZZ;           5.543;à;              12,70;3er;          60.641;à;               4,60;ZZ;         156.647;à;               1,20;
02.06.;aufsteigend;12;13;29;30;36;42;ZZ;8;6er;DJP;;       1.434.898,90;5er + ZZ;               2;à;          55.542,40;5er;              76;à;           1.594,50;4er + ZZ;             224;à;             162,20;
02.06.;;;;;;;;;;4er;           4.056;à;              49,70;3er + ZZ;           5.996;à;              15,10;3er;          65.857;à;               5,50;ZZ;         237.004;à;               1,20;
05.06.;aufsteigend;4;18;20;32;34;44;ZZ;45;6er;3JP;;       2.306.525,90;5er + ZZ;               3;à;          39.949,50;5er;              95;à;           1.376,20;4er + ZZ;             216;à;             181,50;
05.06.;;;;;;;;;;4er;           4.512;à;              48,20;3er + ZZ;           5.509;à;              17,70;3er;          72.340;à;               5,40;ZZ;         224.989;à;               1,20;
09.06.;aufsteigend;3;16;17;24;26;41;ZZ;42;6er;               1;à;       3.466.008,20;5er + ZZ;               5;à;          31.885,70;5er;             153;à;           1.136,70;4er + ZZ;             338;à;             154,30;
09.06.;;;;;;;;;;4er;           7.052;à;              41,10;3er + ZZ;           8.778;à;              14,80;3er;         108.308;à;               4,80;ZZ;         280.407;à;               1,20;
12.06.;aufsteigend;3;8;11;15;18;43;ZZ;33;6er;               1;à;       1.000.000,00;5er + ZZ;JP;;          80.666,80;5er;              77;à;           1.142,80;4er + ZZ;             202;à;             130,60;
12.06.;;;;;;;;;;4er;           3.495;à;              41,90;3er + ZZ;           4.992;à;              13,20;3er;          56.688;à;               4,60;ZZ;         148.703;à;               1,20;
16.06.;aufsteigend;3;15;25;35;37;45;ZZ;34;6er;               1;à;       1.000.000,00;5er + ZZ;               2;à;          88.498,30;5er;             116;à;             905,90;4er + ZZ;             185;à;             170,40;
16.06.;;;;;;;;;;4er;           4.207;à;              41,60;3er + ZZ;           4.348;à;              18,10;3er;          58.072;à;               5,40;ZZ;         174.597;à;               1,20;
19.06.;aufsteigend;3;9;18;35;38;41;ZZ;11;6er;JP;;         622.072,80;5er + ZZ;               2;à;          42.767,50;5er;              69;à;           1.352,30;4er + ZZ;             160;à;             174,90;
19.06.;;;;;;;;;;4er;           3.095;à;              50,20;3er + ZZ;           4.533;à;              15,40;3er;          52.826;à;               5,30;ZZ;         179.151;à;               1,20;
